G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
217,2.733333333,6.433333333,19.97,0.019227927,XST47,2.748622413,6.434787371,472202.9343,711274.1325,4.343,27.308,22.965
218,2.766666667,6.433333333,19.75,0.013683843,XST48,2.781631497,6.422791961,475852.4965,709946.4259,2.26,25.131,22.87
219,2.8,6.433333333,18.47,0.01268141,XST51,2.795002046,6.441654982,477331.8732,712031.0213,1.496,24.457,22.961
220,2.833333333,6.433333333,16.4,0.003143881,XST50,2.826984239,6.430888353,480867.9874,710839.5209,6.306,29.186,22.88
221,2.866666667,6.433333333,14.83,0.001632418,XST53,2.868855608,6.431164111,485498.1234,710868.6279,5.688,28.527,22.839
222,2.9,6.433333333,14.81,0.005625817,XST57,2.905219984,6.432097994,489519.3001,710970.9752,6.135,28.93,22.795
223,2.933333333,6.433333333,16.02,0.018486749,XST61,2.948195479,6.433268704,494271.5115,711099.7092,5.38,28.121,22.741
224,2.966666667,6.433333333,17.21,0.019150415,XST65,2.988538237,6.434803348,498732.5745,711269.0789,4.789,27.497,22.708
225,3,6.433333333,17.44,0.012427557,XST65,2.988538237,6.434803348,498732.5745,711269.0789,4.789,27.497,22.708
226,3.033333333,6.433333333,16.95,0.006207595,XST69,3.031327623,6.436063964,503464.1558,711408.5243,4.379,27.036,22.657
227,3.066666667,6.433333333,16.55,0.034618816,XST72,3.053622142,6.399500358,505929.8695,707366.8433,4.771,27.167,22.396
228,3.1,6.433333333,16.79,0.02948446,XST74,3.093155658,6.458679058,510300.5433,713909.324,0.993,23.742,22.749
229,3.133333333,6.433333333,17.66,0.025579887,XST77,3.119153181,6.453166293,513175.3254,713300.5183,2.788,25.483,22.695
230,3.166666667,6.433333333,19.1,0.019194326,XST81,3.163075647,6.447901828,518032.2354,712719.9051,1.876,24.502,22.626
231,3.2,6.433333333,21.22,0.023840289,XST82A,3.205777044,6.453129745,522753.7653,713299.5307,0.817,23.443,22.626
232,3.233333333,6.433333333,23.82,0.012245234,XST92,3.237649056,6.439562306,526278.7251,711801.2513,1.397,23.908,22.511
233,3.266666667,6.433333333,26,0.015072118,XST89,3.280761379,6.440552794,531045.9681,711913.164,1.909,24.389,22.48
234,3.3,6.433333333,26.66,0.021942789,XST89,3.280761379,6.440552794,531045.9681,711913.164,1.909,24.389,22.48
235,3.333333333,6.433333333,25.46,0.013330717,XST101,3.323955169,6.441881415,535822.1946,712062.8647,3.608,26.063,22.455
236,3.366666667,6.433333333,23.24,0.034323866,XST107,3.380957803,6.397472254,542129.1449,707157.9457,3.34,25.47,22.129
237,3.4,6.433333333,21.05,0.021483432,XST114,3.420188491,6.422654072,546465.3594,709945.0949,3.933,26.218,22.285
238,3.433333333,6.433333333,18.99,0.012256768,XST114,3.420188491,6.422654072,546465.3594,709945.0949,3.933,26.218,22.285
239,3.466666667,6.433333333,16.63,0.014365303,XST120,3.457259184,6.423364222,550564.7293,710027.1116,4.247,26.516,22.27
240,3.5,6.433333333,13.51,0.012543173,XST44,3.49004522,6.422368909,554190.4707,709920.435,4.229,26.483,22.254
241,3.533333333,6.433333333,10.44,0.006697637,XST125,3.531541184,6.423482095,558779.1984,710048.0723,4.198,26.447,22.25
242,3.566666667,6.433333333,8.81,0.011095035,XST137,3.580480428,6.426358515,564190.8401,710371.935,4.832,27.09,22.258
243,3.6,6.433333333,9.22,0.019856336,XST137,3.580480428,6.426358515,564190.8401,710371.935,4.832,27.09,22.258
244,3.633333333,6.433333333,11.09,0.004130028,XST144,3.631051025,6.426005944,569783.3123,710339.5762,5.248,27.472,22.224
245,3.666666667,6.433333333,13.5,0.009074246,XST156,3.678521952,6.426882584,575032.8785,710443.205,5.446,27.663,22.217
246,3.7,6.433333333,16.49,0.021702747,XST162,3.721697309,6.42951422,579807.1619,710740.67,4.559,26.793,22.233
247,3.733333333,6.433333333,20.04,0.00831689,XST162,3.721697309,6.42951422,579807.1619,710740.67,4.559,26.793,22.233
248,3.966666667,6.433333333,31.88,0.019303187,XST204,3.988969653,6.433572854,609364.4556,711238.8093,4.906,27.127,22.221
249,4,6.433333333,33.56,0.011594561,XST204,3.988969653,6.433572854,609364.4556,711238.8093,4.906,27.127,22.221
250,4.033333333,6.433333333,34.27,0.007072038,XST211,4.035036373,6.425035258,614461.1502,710304.9627,3.713,25.902,22.189
251,4.066666667,6.433333333,34.09,0.01527066,XST224,4.080058619,6.418510124,619442.0952,709593.809,5.035,27.195,22.159
252,4.1,6.433333333,33.27,0.02301469,XST224,4.080058619,6.418510124,619442.0952,709593.809,5.035,27.195,22.159
253,4.133333333,6.433333333,32.23,0.019470826,XST225,4.123548278,6.411629144,624253.8133,708843.3567,5.133,27.273,22.14
254,4.166666667,6.433333333,30.88,0.0307623,XST227,4.168038344,6.399300309,629177.751,707491.1922,4.229,26.334,22.105
255,4.2,6.433333333,29.44,0.03988238,XST228,4.20987726,6.391360073,633807.6029,706623.961,4.907,26.979,22.073
256,4.233333333,6.433333333,28.09,0.043565682,XST228,4.20987726,6.391360073,633807.6029,706623.961,4.907,26.979,22.073
257,4.266666667,6.433333333,27.14,0.048689735,XST229A,4.255296272,6.383583508,638833.6357,705776.1406,0,26.153,0
258,4.3,6.433333333,26.36,0.051219321,XST230,4.304484751,6.378977398,644275.9926,705280.3504,0,25.794,0
259,4.333333333,6.433333333,25,0.057046769,XST230,4.304484751,6.378977398,644275.9926,705280.3504,0,25.794,0
260,2.733333333,6.4,20.98,0.0265041,XST231,2.747663719,6.41976007,472096.1033,709612.9916,2.671,25.554,22.883
261,2.766666667,6.4,19.39,0.024100211,XST45,2.752490971,6.383439383,472627.9808,705597.666,7.02,29.694,22.674
262,2.8,6.4,16.77,0.012875058,XST49,2.80564541,6.388428636,478506.5625,706146.6799,4.964,27.619,22.655
263,2.833333333,6.4,14.12,0.014219143,XST52,2.843480215,6.395475861,482690.9159,706924.2843,6.21,28.867,22.658
264,2.866666667,6.4,12.9,0.017857584,XST56,2.886939875,6.394348989,487496.9778,706798.4559,5.039,27.624,22.586
265,2.9,6.4,14.19,0.014230277,XST56,2.886939875,6.394348989,487496.9778,706798.4559,5.039,27.624,22.586
266,2.933333333,6.4,17.09,0.004595985,XST60,2.928216261,6.395764277,492061.6497,706954.0873,4.837,27.376,22.539
267,2.966666667,6.4,19.63,0.003190433,XST64,2.96973699,6.396820426,496653.3113,707070.3826,4.225,26.709,22.484
